Lasso Genes 1,XGBoost Genes,Random Forest Genes,AdaBoost Genes,Intersection Lasso-XG-RF,Intersection Lasso-XG-RF-Ada,Lasso Convergence,Intersection Lasso Convergence-XG,Intersection Lasso Convergence-Ada,Intersection XG-Ada,Intersection Lasso Convergence-XG-Ada
ENSG00000073737.15,ENSG00000131778.16,ENSG00000259330.1,,,,ENSG00000182700.4,,,,
ENSG00000122121.9,ENSG00000171873.7,ENSG00000103599.18,,,,ENSG00000134569.8,,,,
ENSG00000164867.9,ENSG00000267348.2,ENSG00000133639.4,,,,ENSG00000095917.12,,,,
ENSG00000242252.1,ENSG00000087076.7,ENSG00000159208.14,,,,ENSG00000161905.11,,,,
ENSG00000008056.11,ENSG00000196361.8,ENSG00000170989.8,,,,ENSG00000236081.1,,,,
ENSG00000144476.5,ENSG00000173040.11,ENSG00000224165.4,,,,ENSG00000185633.9,,,,
ENSG00000166265.10,ENSG00000043355.9,ENSG00000057935.12,,,,ENSG00000226321.5,,,,
ENSG00000155659.13,ENSG00000006042.10,ENSG00000070785.15,,,,ENSG00000248858.6,,,,
ENSG00000221867.7,ENSG00000162572.18,ENSG00000106400.10,,,,ENSG00000141255.11,,,,
ENSG00000099957.15,ENSG00000090097.19,ENSG00000164929.15,,,,ENSG00000138395.13,,,,
ENSG00000141255.11,ENSG00000046889.17,ENSG00000229729.5,,,,ENSG00000230246.6,,,,
ENSG00000164136.15,ENSG00000159208.14,ENSG00000160013.7,,,,ENSG00000273449.1,,,,
ENSG00000176678.5,ENSG00000197728.8,ENSG00000135525.17,,,,ENSG00000179104.7,,,,
ENSG00000163435.14,ENSG00000168556.6,ENSG00000186687.14,,,,ENSG00000198842.8,,,,
ENSG00000145416.12,ENSG00000225265.1,ENSG00000197808.10,,,,ENSG00000148541.11,,,,
ENSG00000281527.1,ENSG00000187867.7,ENSG00000244242.1,,,,ENSG00000272342.1,,,,
ENSG00000272342.1,ENSG00000138944.7,ENSG00000102981.8,,,,ENSG00000130433.6,,,,
ENSG00000268568.1,ENSG00000048540.13,ENSG00000183598.3,,,,ENSG00000180044.4,,,,
ENSG00000116031.8,ENSG00000139291.12,ENSG00000260400.1,,,,ENSG00000087245.11,,,,
ENSG00000119938.8,ENSG00000146013.9,ENSG00000185909.13,,,,ENSG00000198576.3,,,,
ENSG00000224014.1,ENSG00000164659.13,ENSG00000182389.17,,,,ENSG00000005513.9,,,,
ENSG00000185345.17,ENSG00000235313.1,ENSG00000167664.7,,,,ENSG00000111341.8,,,,
ENSG00000258056.2,ENSG00000197721.15,ENSG00000187566.4,,,,ENSG00000161643.11,,,,
ENSG00000260000.2,ENSG00000100298.14,ENSG00000204613.9,,,,ENSG00000185345.17,,,,
ENSG00000158747.12,ENSG00000125869.8,ENSG00000077420.14,,,,ENSG00000271324.1,,,,
ENSG00000215246.5,ENSG00000154914.15,ENSG00000067082.13,,,,ENSG00000275769.1,,,,
ENSG00000215397.3,ENSG00000257207.5,ENSG00000100276.9,,,,ENSG00000122691.11,,,,
ENSG00000279320.1,ENSG00000253636.1,ENSG00000234450.1,,,,ENSG00000225778.4,,,,
ENSG00000078081.6,ENSG00000263874.1,ENSG00000058453.15,,,,ENSG00000167419.9,,,,
ENSG00000170370.11,ENSG00000224668.1,ENSG00000100290.2,,,,ENSG00000272010.1,,,,
ENSG00000166402.7,ENSG00000197653.13,ENSG00000124772.10,,,,ENSG00000250771.2,,,,
ENSG00000161149.10,ENSG00000275763.2,ENSG00000176083.16,,,,ENSG00000260078.3,,,,
ENSG00000233435.1,ENSG00000166819.10,ENSG00000147571.4,,,,ENSG00000122574.9,,,,
ENSG00000279332.1,ENSG00000064787.11,ENSG00000178966.14,,,,ENSG00000271997.1,,,,
ENSG00000261220.2,ENSG00000058453.15,ENSG00000181754.6,,,,ENSG00000145244.10,,,,
ENSG00000154655.13,ENSG00000125878.5,ENSG00000143512.11,,,,ENSG00000272973.1,,,,
ENSG00000073605.17,ENSG00000179909.14,ENSG00000134569.8,,,,ENSG00000267453.5,,,,
ENSG00000235994.4,ENSG00000108405.3,ENSG00000205212.3,,,,ENSG00000132514.12,,,,
ENSG00000278603.1,ENSG00000099194.5,ENSG00000162490.6,,,,ENSG00000019169.10,,,,
ENSG00000155886.10,ENSG00000147571.4,ENSG00000154864.10,,,,ENSG00000265179.5,,,,
ENSG00000123384.12,ENSG00000182700.4,ENSG00000270956.1,,,,ENSG00000166770.9,,,,
ENSG00000120659.13,ENSG00000125430.7,ENSG00000171160.16,,,,ENSG00000204644.8,,,,
ENSG00000133519.11,ENSG00000006747.13,ENSG00000006025.10,,,,ENSG00000265519.1,,,,
ENSG00000138758.10,ENSG00000104980.6,ENSG00000065613.12,,,,ENSG00000198910.11,,,,
ENSG00000057019.14,ENSG00000099849.13,ENSG00000198417.6,,,,ENSG00000239704.9,,,,
ENSG00000118971.6,ENSG00000138207.11,ENSG00000260369.2,,,,ENSG00000135318.10,,,,
ENSG00000275395.3,ENSG00000154928.15,ENSG00000273604.1,,,,ENSG00000269696.1,,,,
ENSG00000270062.1,ENSG00000158411.9,ENSG00000267121.4,,,,ENSG00000263326.1,,,,
ENSG00000134864.9,ENSG00000011007.11,ENSG00000178607.14,,,,ENSG00000199477.1,,,,
ENSG00000130294.13,ENSG00000173715.14,ENSG00000183258.10,,,,ENSG00000271009.2,,,,
ENSG00000262482.1,ENSG00000095917.12,ENSG00000237938.4,,,,ENSG00000157335.18,,,,
ENSG00000269696.1,ENSG00000174669.10,ENSG00000138449.9,,,,ENSG00000273355.1,,,,
ENSG00000007001.11,ENSG00000145908.11,ENSG00000235072.2,,,,ENSG00000163106.9,,,,
ENSG00000101825.7,ENSG00000163288.12,ENSG00000155659.13,,,,ENSG00000273628.1,,,,
ENSG00000224940.7,ENSG00000277363.3,ENSG00000183066.13,,,,ENSG00000123685.7,,,,
ENSG00000226747.5,ENSG00000132010.14,ENSG00000141255.11,,,,ENSG00000224687.1,,,,
ENSG00000266036.1,ENSG00000146001.5,ENSG00000167081.15,,,,ENSG00000216331.1,,,,
ENSG00000211652.2,ENSG00000185420.17,ENSG00000130700.6,,,,ENSG00000069535.13,,,,
ENSG00000277534.1,ENSG00000273175.1,ENSG00000182307.11,,,,ENSG00000196557.9,,,,
ENSG00000154027.17,ENSG00000279108.1,ENSG00000164070.10,,,,ENSG00000241644.2,,,,
ENSG00000255753.1,ENSG00000088256.7,ENSG00000204682.5,,,,ENSG00000171659.12,,,,
ENSG00000147676.12,ENSG00000147144.11,ENSG00000226887.6,,,,ENSG00000267547.1,,,,
ENSG00000251002.6,ENSG00000103496.13,ENSG00000114948.11,,,,ENSG00000225234.1,,,,
ENSG00000136197.11,ENSG00000120833.12,ENSG00000099917.16,,,,ENSG00000234147.1,,,,
ENSG00000170647.3,ENSG00000133878.7,ENSG00000116016.12,,,,ENSG00000162078.10,,,,
ENSG00000189068.8,ENSG00000167995.14,ENSG00000075213.9,,,,ENSG00000198400.10,,,,
ENSG00000164853.8,ENSG00000109472.12,ENSG00000204351.10,,,,ENSG00000179639.9,,,,
ENSG00000100285.9,ENSG00000080823.20,ENSG00000007944.13,,,,ENSG00000134460.14,,,,
ENSG00000168386.17,ENSG00000169217.7,ENSG00000087157.17,,,,ENSG00000173482.15,,,,
ENSG00000181444.11,ENSG00000175544.12,ENSG00000140398.12,,,,ENSG00000233968.5,,,,
ENSG00000276600.3,ENSG00000116350.14,ENSG00000101400.5,,,,ENSG00000113100.8,,,,
ENSG00000119630.12,ENSG00000226887.6,ENSG00000116584.16,,,,ENSG00000164120.12,,,,
ENSG00000133612.17,ENSG00000161911.10,ENSG00000261064.1,,,,ENSG00000153012.10,,,,
ENSG00000271795.1,ENSG00000092200.11,ENSG00000204420.7,,,,ENSG00000168546.9,,,,
ENSG00000135362.12,ENSG00000197565.14,ENSG00000146731.9,,,,ENSG00000130649.8,,,,
ENSG00000277744.1,ENSG00000164070.10,ENSG00000188747.7,,,,ENSG00000280081.2,,,,
ENSG00000099994.10,ENSG00000250910.6,ENSG00000084444.12,,,,ENSG00000169116.10,,,,
ENSG00000163762.5,ENSG00000116396.12,ENSG00000163818.15,,,,ENSG00000244953.1,,,,
ENSG00000166482.10,ENSG00000135953.9,ENSG00000108510.8,,,,ENSG00000106538.8,,,,
ENSG00000235475.1,ENSG00000172893.14,ENSG00000133985.2,,,,ENSG00000172476.3,,,,
ENSG00000134460.14,ENSG00000279182.1,ENSG00000269821.1,,,,ENSG00000133055.7,,,,
ENSG00000197506.7,ENSG00000198842.8,ENSG00000142207.6,,,,ENSG00000115112.7,,,,
ENSG00000261652.2,ENSG00000234753.4,ENSG00000103769.8,,,,ENSG00000170837.2,,,,
ENSG00000151718.14,ENSG00000215548.2,ENSG00000141068.12,,,,ENSG00000196436.8,,,,
ENSG00000224083.1,ENSG00000258900.1,ENSG00000223692.1,,,,ENSG00000113389.14,,,,
ENSG00000233251.6,ENSG00000224738.1,ENSG00000163006.10,,,,ENSG00000272217.1,,,,
ENSG00000245532.5,ENSG00000144339.10,ENSG00000161149.10,,,,ENSG00000146648.14,,,,
ENSG00000134851.11,ENSG00000142627.12,ENSG00000198963.9,,,,ENSG00000266733.4,,,,
ENSG00000182263.12,ENSG00000225028.1,ENSG00000123989.12,,,,ENSG00000264707.1,,,,
ENSG00000113494.15,ENSG00000111341.8,ENSG00000140057.7,,,,ENSG00000159713.9,,,,
ENSG00000156427.7,ENSG00000181408.3,ENSG00000247081.6,,,,ENSG00000171903.15,,,,
ENSG00000206344.6,ENSG00000185345.17,ENSG00000229950.1,,,,ENSG00000176692.5,,,,
ENSG00000274964.1,ENSG00000099998.16,ENSG00000170653.17,,,,ENSG00000260182.1,,,,
ENSG00000243836.4,ENSG00000101333.15,ENSG00000266524.2,,,,ENSG00000155011.7,,,,
ENSG00000109944.9,ENSG00000072849.9,ENSG00000270182.1,,,,ENSG00000234449.2,,,,
ENSG00000100450.11,ENSG00000204956.5,ENSG00000197296.5,,,,ENSG00000128438.9,,,,
ENSG00000170837.2,ENSG00000250608.1,ENSG00000181577.14,,,,ENSG00000250696.4,,,,
ENSG00000167083.5,ENSG00000267801.1,ENSG00000114383.8,,,,ENSG00000134247.9,,,,
ENSG00000134827.6,ENSG00000205464.10,ENSG00000023697.11,,,,ENSG00000163421.7,,,,
ENSG00000154874.13,ENSG00000198682.11,ENSG00000008311.13,,,,ENSG00000079102.15,,,,
ENSG00000182621.15,ENSG00000270504.1,ENSG00000116157.5,,,,ENSG00000171345.12,,,,
ENSG00000259417.2,ENSG00000186510.10,ENSG00000154114.11,,,,ENSG00000184709.7,,,,
ENSG00000120055.7,ENSG00000198963.9,ENSG00000155886.10,,,,ENSG00000172236.15,,,,
ENSG00000234449.2,ENSG00000138028.13,ENSG00000165661.14,,,,ENSG00000186115.11,,,,
ENSG00000196090.11,ENSG00000115221.9,ENSG00000109738.9,,,,ENSG00000176771.14,,,,
ENSG00000238133.5,ENSG00000109339.17,ENSG00000130962.16,,,,ENSG00000114923.15,,,,
ENSG00000165685.7,ENSG00000131507.10,ENSG00000154654.13,,,,ENSG00000164100.8,,,,
ENSG00000126458.3,ENSG00000261069.3,ENSG00000241684.4,,,,ENSG00000196581.9,,,,
ENSG00000234690.5,ENSG00000084764.9,ENSG00000253187.2,,,,ENSG00000130762.13,,,,
ENSG00000250696.4,ENSG00000266964.4,ENSG00000152253.7,,,,ENSG00000123201.13,,,,
ENSG00000197302.9,ENSG00000267453.5,ENSG00000133519.11,,,,ENSG00000119121.20,,,,
ENSG00000196666.4,ENSG00000053747.14,ENSG00000147044.19,,,,ENSG00000121807.5,,,,
ENSG00000211829.5,ENSG00000100890.14,ENSG00000126803.9,,,,ENSG00000147488.10,,,,
