Lasso Genes 1,XGBoost Genes,Random Forest Genes,AdaBoost Genes,Intersection Lasso-XG-RF,Intersection Lasso-XG-RF-Ada,Lasso Convergence,Intersection Lasso Convergence-XG,Intersection Lasso Convergence-Ada,Intersection XG-Ada,Intersection Lasso Convergence-XG-Ada
ENSG00000261332.1,ENSG00000160191.16,ENSG00000162738.5,,,,,,,,
ENSG00000274943.1,ENSG00000115112.7,ENSG00000183665.5,,,,,,,,
ENSG00000267364.1,ENSG00000177464.4,ENSG00000260121.1,,,,,,,,
ENSG00000125650.4,ENSG00000173714.7,ENSG00000147592.7,,,,,,,,
ENSG00000153071.13,ENSG00000179178.9,ENSG00000111269.2,,,,,,,,
ENSG00000133216.15,ENSG00000215559.7,ENSG00000051180.15,,,,,,,,
ENSG00000157613.9,ENSG00000241973.9,ENSG00000076641.4,,,,,,,,
ENSG00000240449.1,ENSG00000271780.1,ENSG00000136854.16,,,,,,,,
ENSG00000255306.1,ENSG00000111644.6,ENSG00000168497.4,,,,,,,,
ENSG00000205763.12,ENSG00000128965.10,ENSG00000253978.1,,,,,,,,
ENSG00000115275.10,ENSG00000185900.8,ENSG00000137673.7,,,,,,,,
ENSG00000164056.9,ENSG00000114302.14,ENSG00000157538.12,,,,,,,,
ENSG00000215808.2,ENSG00000250317.7,ENSG00000136717.13,,,,,,,,
ENSG00000224429.6,ENSG00000259462.2,ENSG00000151490.12,,,,,,,,
ENSG00000137747.13,ENSG00000262652.1,ENSG00000138161.11,,,,,,,,
ENSG00000170549.3,ENSG00000266733.4,ENSG00000074935.12,,,,,,,,
ENSG00000171794.3,ENSG00000260182.1,ENSG00000025039.13,,,,,,,,
ENSG00000054803.3,ENSG00000100448.3,ENSG00000235590.6,,,,,,,,
ENSG00000182870.11,ENSG00000182873.5,ENSG00000119547.5,,,,,,,,
ENSG00000020181.16,ENSG00000262576.2,ENSG00000177946.5,,,,,,,,
ENSG00000273355.1,ENSG00000028839.8,ENSG00000230415.1,,,,,,,,
ENSG00000123095.5,ENSG00000130584.9,ENSG00000173334.3,,,,,,,,
ENSG00000239213.4,ENSG00000205784.2,ENSG00000205730.6,,,,,,,,
ENSG00000163734.4,ENSG00000236333.3,ENSG00000257883.1,,,,,,,,
ENSG00000250899.3,ENSG00000166473.15,ENSG00000138400.11,,,,,,,,
ENSG00000137331.11,ENSG00000270083.1,ENSG00000159842.13,,,,,,,,
ENSG00000273507.3,ENSG00000278621.1,ENSG00000151067.19,,,,,,,,
ENSG00000065361.13,ENSG00000170265.10,ENSG00000141526.13,,,,,,,,
ENSG00000070018.7,ENSG00000185404.15,ENSG00000254901.6,,,,,,,,
ENSG00000245848.2,ENSG00000071205.10,ENSG00000228232.1,,,,,,,,
ENSG00000182040.7,ENSG00000178386.11,ENSG00000101639.17,,,,,,,,
ENSG00000089169.13,ENSG00000168497.4,ENSG00000137575.10,,,,,,,,
ENSG00000165072.9,ENSG00000197992.5,ENSG00000165698.14,,,,,,,,
ENSG00000274667.1,ENSG00000233864.6,ENSG00000039523.16,,,,,,,,
ENSG00000248115.1,ENSG00000119979.14,ENSG00000130720.11,,,,,,,,
ENSG00000162078.10,ENSG00000122378.12,ENSG00000117122.12,,,,,,,,
ENSG00000131459.11,ENSG00000198826.9,ENSG00000244701.1,,,,,,,,
ENSG00000136541.13,ENSG00000273026.1,ENSG00000234719.7,,,,,,,,
ENSG00000221944.4,ENSG00000135108.13,ENSG00000125629.13,,,,,,,,
ENSG00000163785.11,ENSG00000183431.10,ENSG00000204176.12,,,,,,,,
ENSG00000204745.3,ENSG00000198088.9,ENSG00000163393.11,,,,,,,,
ENSG00000183346.6,ENSG00000231201.1,ENSG00000106100.9,,,,,,,,
ENSG00000187098.13,ENSG00000175832.11,ENSG00000245330.4,,,,,,,,
ENSG00000277159.1,ENSG00000109158.9,ENSG00000040608.12,,,,,,,,
ENSG00000215218.3,ENSG00000227908.3,ENSG00000143614.7,,,,,,,,
ENSG00000196172.9,ENSG00000087206.15,ENSG00000104814.11,,,,,,,,
ENSG00000268279.3,ENSG00000144802.10,ENSG00000140259.6,,,,,,,,
ENSG00000233327.9,ENSG00000164007.9,ENSG00000168884.13,,,,,,,,
ENSG00000198496.9,ENSG00000253540.4,ENSG00000215217.5,,,,,,,,
ENSG00000267278.4,ENSG00000197046.10,ENSG00000272758.4,,,,,,,,
ENSG00000171811.11,ENSG00000149289.9,ENSG00000158882.11,,,,,,,,
ENSG00000256164.1,ENSG00000162878.11,ENSG00000245556.2,,,,,,,,
ENSG00000070190.11,ENSG00000272763.1,ENSG00000104970.9,,,,,,,,
ENSG00000279822.1,ENSG00000144730.15,ENSG00000091073.18,,,,,,,,
ENSG00000248905.7,ENSG00000165300.7,ENSG00000102978.11,,,,,,,,
ENSG00000280216.1,ENSG00000119943.9,ENSG00000116176.6,,,,,,,,
ENSG00000136999.4,ENSG00000175857.7,ENSG00000188070.9,,,,,,,,
ENSG00000071967.10,ENSG00000178234.11,ENSG00000135253.12,,,,,,,,
ENSG00000161640.14,ENSG00000183150.6,ENSG00000237753.1,,,,,,,,
ENSG00000138131.3,ENSG00000228393.3,ENSG00000049239.11,,,,,,,,
ENSG00000237101.1,ENSG00000143473.10,ENSG00000104343.18,,,,,,,,
ENSG00000144648.13,ENSG00000267491.1,ENSG00000125089.15,,,,,,,,
ENSG00000281106.1,ENSG00000259120.2,ENSG00000267871.4,,,,,,,,
ENSG00000172201.9,ENSG00000163913.10,ENSG00000174939.9,,,,,,,,
ENSG00000171903.15,ENSG00000170456.13,ENSG00000247498.8,,,,,,,,
ENSG00000271109.1,ENSG00000187726.7,ENSG00000100060.16,,,,,,,,
ENSG00000148700.12,ENSG00000084636.16,ENSG00000172086.7,,,,,,,,
ENSG00000172197.10,ENSG00000100726.13,ENSG00000107201.8,,,,,,,,
ENSG00000142698.13,ENSG00000267414.1,ENSG00000141452.8,,,,,,,,
ENSG00000271425.5,,ENSG00000161544.8,,,,,,,,
ENSG00000159784.16,,ENSG00000134717.16,,,,,,,,
ENSG00000260495.1,,ENSG00000196935.7,,,,,,,,
ENSG00000111077.16,,ENSG00000175224.15,,,,,,,,
ENSG00000276231.3,,ENSG00000081985.9,,,,,,,,
ENSG00000267757.3,,ENSG00000134897.12,,,,,,,,
ENSG00000122870.10,,ENSG00000166979.11,,,,,,,,
ENSG00000235609.7,,ENSG00000168993.13,,,,,,,,
ENSG00000272372.1,,ENSG00000133317.13,,,,,,,,
ENSG00000225151.9,,ENSG00000259429.4,,,,,,,,
ENSG00000232470.1,,ENSG00000182732.15,,,,,,,,
ENSG00000167194.6,,ENSG00000104946.9,,,,,,,,
ENSG00000135960.8,,ENSG00000181035.12,,,,,,,,
ENSG00000234084.1,,ENSG00000133313.13,,,,,,,,
ENSG00000150938.8,,ENSG00000198198.12,,,,,,,,
ENSG00000156219.15,,ENSG00000106006.6,,,,,,,,
ENSG00000270605.1,,ENSG00000227855.3,,,,,,,,
ENSG00000274776.1,,ENSG00000163221.8,,,,,,,,
ENSG00000273478.1,,ENSG00000110756.16,,,,,,,,
ENSG00000198944.5,,ENSG00000179832.16,,,,,,,,
ENSG00000239569.3,,ENSG00000156453.12,,,,,,,,
ENSG00000171729.12,,ENSG00000100100.11,,,,,,,,
ENSG00000211751.6,,ENSG00000058404.18,,,,,,,,
ENSG00000100351.15,,ENSG00000131242.14,,,,,,,,
ENSG00000204071.8,,ENSG00000259953.1,,,,,,,,
ENSG00000172461.9,,ENSG00000214530.6,,,,,,,,
ENSG00000185149.5,,ENSG00000185090.13,,,,,,,,
ENSG00000119943.9,,ENSG00000196150.12,,,,,,,,
ENSG00000234616.7,,ENSG00000166394.13,,,,,,,,
ENSG00000261215.1,,ENSG00000125398.5,,,,,,,,
ENSG00000178031.14,,ENSG00000139354.9,,,,,,,,
ENSG00000126500.3,,ENSG00000142039.3,,,,,,,,
ENSG00000239407.4,,ENSG00000100342.19,,,,,,,,
ENSG00000271743.1,,ENSG00000151240.14,,,,,,,,
ENSG00000162595.4,,ENSG00000154930.13,,,,,,,,
ENSG00000174473.14,,ENSG00000198658.4,,,,,,,,
ENSG00000185955.4,,ENSG00000117834.11,,,,,,,,
ENSG00000080493.12,,ENSG00000275325.3,,,,,,,,
ENSG00000188056.10,,ENSG00000114354.11,,,,,,,,
ENSG00000091129.18,,ENSG00000127955.14,,,,,,,,
ENSG00000137691.11,,ENSG00000064787.11,,,,,,,,
ENSG00000117245.11,,ENSG00000176749.7,,,,,,,,
ENSG00000124491.14,,ENSG00000240445.3,,,,,,,,
ENSG00000273343.1,,ENSG00000160326.12,,,,,,,,
ENSG00000259436.1,,ENSG00000085788.12,,,,,,,,
ENSG00000167807.14,,ENSG00000169598.14,,,,,,,,
ENSG00000185070.9,,ENSG00000125430.7,,,,,,,,
ENSG00000129194.6,,ENSG00000115085.12,,,,,,,,
ENSG00000181085.13,,ENSG00000132773.10,,,,,,,,
ENSG00000198570.5,,ENSG00000204344.13,,,,,,,,
ENSG00000202474.1,,ENSG00000223553.4,,,,,,,,
ENSG00000279059.1,,ENSG00000232344.2,,,,,,,,
ENSG00000152527.12,,ENSG00000265206.3,,,,,,,,
ENSG00000187653.11,,ENSG00000103381.10,,,,,,,,
ENSG00000178342.4,,ENSG00000063438.15,,,,,,,,
ENSG00000187595.13,,ENSG00000205476.7,,,,,,,,
ENSG00000183853.16,,ENSG00000131951.9,,,,,,,,
ENSG00000197748.11,,ENSG00000102804.13,,,,,,,,
ENSG00000116039.10,,ENSG00000222047.7,,,,,,,,
ENSG00000262539.1,,ENSG00000272927.1,,,,,,,,
ENSG00000226824.5,,ENSG00000115919.13,,,,,,,,
ENSG00000027644.4,,ENSG00000179954.13,,,,,,,,
ENSG00000259881.1,,ENSG00000100626.15,,,,,,,,
ENSG00000227560.1,,ENSG00000117862.10,,,,,,,,
ENSG00000125257.12,,ENSG00000197050.9,,,,,,,,
ENSG00000254317.1,,ENSG00000177335.9,,,,,,,,
ENSG00000260855.1,,ENSG00000271447.4,,,,,,,,
ENSG00000270638.1,,ENSG00000196873.14,,,,,,,,
ENSG00000184785.5,,ENSG00000121989.13,,,,,,,,
ENSG00000274461.1,,ENSG00000131188.10,,,,,,,,
ENSG00000118785.12,,ENSG00000116396.12,,,,,,,,
ENSG00000184857.7,,ENSG00000182504.9,,,,,,,,
ENSG00000075303.11,,ENSG00000161513.10,,,,,,,,
ENSG00000158715.5,,ENSG00000280153.1,,,,,,,,
ENSG00000224950.2,,ENSG00000107130.8,,,,,,,,
ENSG00000255474.1,,ENSG00000198185.10,,,,,,,,
ENSG00000026751.15,,ENSG00000231290.4,,,,,,,,
ENSG00000118242.14,,ENSG00000258471.1,,,,,,,,
ENSG00000203684.5,,ENSG00000237943.5,,,,,,,,
ENSG00000213759.7,,ENSG00000153157.11,,,,,,,,
ENSG00000263990.1,,ENSG00000235776.2,,,,,,,,
ENSG00000171509.14,,ENSG00000078061.11,,,,,,,,
ENSG00000222019.6,,ENSG00000128271.18,,,,,,,,
ENSG00000272079.2,,ENSG00000074219.12,,,,,,,,
ENSG00000071282.10,,ENSG00000078596.9,,,,,,,,
ENSG00000275993.2,,ENSG00000092010.13,,,,,,,,
ENSG00000255495.1,,ENSG00000064300.7,,,,,,,,
ENSG00000103196.10,,ENSG00000102910.12,,,,,,,,
ENSG00000136378.13,,ENSG00000197045.11,,,,,,,,
ENSG00000138207.11,,ENSG00000204956.5,,,,,,,,
ENSG00000264270.1,,ENSG00000226403.1,,,,,,,,
ENSG00000105499.12,,ENSG00000113594.8,,,,,,,,
ENSG00000273210.1,,ENSG00000172830.11,,,,,,,,
ENSG00000268751.1,,ENSG00000262873.1,,,,,,,,
ENSG00000180263.12,,ENSG00000138028.13,,,,,,,,
ENSG00000254774.1,,ENSG00000273437.1,,,,,,,,
ENSG00000225342.2,,ENSG00000197555.8,,,,,,,,
ENSG00000028277.19,,ENSG00000234444.8,,,,,,,,
ENSG00000277245.1,,ENSG00000280011.1,,,,,,,,
ENSG00000113196.2,,ENSG00000165905.15,,,,,,,,
ENSG00000197712.10,,ENSG00000124571.16,,,,,,,,
ENSG00000102886.13,,ENSG00000144659.9,,,,,,,,
ENSG00000108342.11,,ENSG00000258424.1,,,,,,,,
ENSG00000206417.7,,ENSG00000276141.3,,,,,,,,
ENSG00000214140.9,,ENSG00000227502.2,,,,,,,,
ENSG00000154642.9,,ENSG00000165511.6,,,,,,,,
ENSG00000263853.1,,ENSG00000100154.13,,,,,,,,
ENSG00000167768.4,,ENSG00000092051.15,,,,,,,,
ENSG00000272343.1,,ENSG00000174996.10,,,,,,,,
ENSG00000198576.3,,ENSG00000279636.2,,,,,,,,
ENSG00000005513.9,,ENSG00000104055.13,,,,,,,,
ENSG00000186868.14,,ENSG00000184117.10,,,,,,,,
ENSG00000261671.1,,ENSG00000140009.17,,,,,,,,
ENSG00000160072.18,,ENSG00000163820.13,,,,,,,,
ENSG00000073417.13,,ENSG00000205863.8,,,,,,,,
ENSG00000204282.4,,ENSG00000189376.10,,,,,,,,
ENSG00000173156.5,,ENSG00000267248.1,,,,,,,,
ENSG00000267058.1,,ENSG00000184860.8,,,,,,,,
ENSG00000281468.1,,ENSG00000220848.4,,,,,,,,
ENSG00000005102.11,,ENSG00000134256.11,,,,,,,,
ENSG00000228407.2,,ENSG00000234336.5,,,,,,,,
ENSG00000113140.9,,ENSG00000267060.4,,,,,,,,
ENSG00000255445.1,,ENSG00000164056.9,,,,,,,,
ENSG00000275278.1,,ENSG00000172817.3,,,,,,,,
ENSG00000102145.12,,ENSG00000133794.16,,,,,,,,
ENSG00000089199.8,,ENSG00000199477.1,,,,,,,,
ENSG00000234906.7,,ENSG00000224429.6,,,,,,,,
ENSG00000143469.15,,ENSG00000170549.3,,,,,,,,
ENSG00000115738.8,,ENSG00000159363.16,,,,,,,,
ENSG00000260296.1,,ENSG00000133243.7,,,,,,,,
ENSG00000182749.5,,ENSG00000162734.11,,,,,,,,
ENSG00000166770.9,,ENSG00000138755.5,,,,,,,,
ENSG00000011143.15,,ENSG00000238287.1,,,,,,,,
ENSG00000187122.15,,ENSG00000124193.13,,,,,,,,
ENSG00000103150.5,,ENSG00000205978.5,,,,,,,,
ENSG00000172361.5,,ENSG00000224796.1,,,,,,,,
ENSG00000185052.10,,ENSG00000255455.2,,,,,,,,
ENSG00000237126.7,,ENSG00000272602.4,,,,,,,,
ENSG00000263235.1,,ENSG00000137331.11,,,,,,,,
ENSG00000188596.8,,ENSG00000254093.7,,,,,,,,
ENSG00000211893.3,,ENSG00000256148.1,,,,,,,,
ENSG00000205683.10,,ENSG00000149016.14,,,,,,,,
ENSG00000252361.1,,ENSG00000070018.7,,,,,,,,
ENSG00000159164.8,,ENSG00000196937.9,,,,,,,,
ENSG00000250318.1,,ENSG00000092096.13,,,,,,,,
ENSG00000229334.1,,ENSG00000121413.11,,,,,,,,
ENSG00000265190.5,,ENSG00000162927.12,,,,,,,,
ENSG00000225439.2,,ENSG00000276900.1,,,,,,,,
ENSG00000279227.1,,ENSG00000167619.10,,,,,,,,
ENSG00000149380.10,,ENSG00000121440.13,,,,,,,,
ENSG00000119508.16,,ENSG00000134333.12,,,,,,,,
ENSG00000148498.14,,ENSG00000089169.13,,,,,,,,
ENSG00000165443.10,,ENSG00000259321.1,,,,,,,,
ENSG00000137809.15,,ENSG00000255040.1,,,,,,,,
ENSG00000244731.6,,ENSG00000162078.10,,,,,,,,
ENSG00000270996.1,,ENSG00000198400.10,,,,,,,,
ENSG00000140749.8,,ENSG00000221944.4,,,,,,,,
ENSG00000261254.2,,ENSG00000164039.13,,,,,,,,
ENSG00000155393.11,,ENSG00000197081.11,,,,,,,,
ENSG00000228630.4,,ENSG00000100583.4,,,,,,,,
ENSG00000139330.5,,ENSG00000011478.10,,,,,,,,
ENSG00000078246.14,,ENSG00000140829.10,,,,,,,,
ENSG00000159708.16,,ENSG00000164647.7,,,,,,,,
ENSG00000171016.10,,ENSG00000233325.3,,,,,,,,
ENSG00000144451.17,,ENSG00000068097.13,,,,,,,,
ENSG00000187912.10,,ENSG00000173809.14,,,,,,,,
ENSG00000267547.1,,ENSG00000278219.1,,,,,,,,
ENSG00000255031.4,,ENSG00000112964.12,,,,,,,,
ENSG00000136634.5,,ENSG00000177191.2,,,,,,,,
ENSG00000041982.13,,ENSG00000094963.12,,,,,,,,
ENSG00000182575.7,,ENSG00000164188.7,,,,,,,,
ENSG00000277011.1,,ENSG00000173221.12,,,,,,,,
ENSG00000234147.1,,ENSG00000134440.10,,,,,,,,
ENSG00000100906.9,,ENSG00000127824.12,,,,,,,,
ENSG00000101311.14,,ENSG00000136999.4,,,,,,,,
ENSG00000120370.11,,ENSG00000071967.10,,,,,,,,
ENSG00000272989.1,,ENSG00000245694.7,,,,,,,,
ENSG00000173826.13,,ENSG00000267288.2,,,,,,,,
ENSG00000247271.5,,ENSG00000124107.5,,,,,,,,
ENSG00000162444.11,,ENSG00000246082.2,,,,,,,,
ENSG00000205861.10,,ENSG00000266733.4,,,,,,,,
ENSG00000230795.2,,ENSG00000198157.9,,,,,,,,
ENSG00000233968.5,,ENSG00000205060.9,,,,,,,,
ENSG00000106178.5,,ENSG00000230749.4,,,,,,,,
ENSG00000160307.8,,ENSG00000170893.3,,,,,,,,
ENSG00000175294.5,,ENSG00000204946.8,,,,,,,,
ENSG00000274272.1,,ENSG00000182628.11,,,,,,,,
ENSG00000249348.1,,ENSG00000108798.7,,,,,,,,
ENSG00000143878.9,,ENSG00000130208.8,,,,,,,,
ENSG00000163412.11,,ENSG00000119042.15,,,,,,,,
ENSG00000118514.12,,ENSG00000183092.14,,,,,,,,
ENSG00000253846.2,,ENSG00000233608.3,,,,,,,,
ENSG00000071242.10,,ENSG00000239653.1,,,,,,,,
ENSG00000203710.9,,ENSG00000267372.2,,,,,,,,
ENSG00000204099.10,,ENSG00000226519.1,,,,,,,,
ENSG00000150471.14,,ENSG00000182257.6,,,,,,,,
ENSG00000228549.3,,ENSG00000047597.5,,,,,,,,
ENSG00000174007.7,,ENSG00000091972.17,,,,,,,,
ENSG00000248671.6,,ENSG00000138641.14,,,,,,,,
ENSG00000100422.12,,ENSG00000102878.14,,,,,,,,
ENSG00000103245.12,,ENSG00000198959.10,,,,,,,,
ENSG00000175161.12,,ENSG00000207205.1,,,,,,,,
ENSG00000116774.10,,ENSG00000126262.4,,,,,,,,
ENSG00000197467.12,,ENSG00000119950.19,,,,,,,,
ENSG00000145428.13,,ENSG00000186918.12,,,,,,,,
ENSG00000099960.11,,ENSG00000134201.9,,,,,,,,
ENSG00000131797.11,,ENSG00000105647.13,,,,,,,,
ENSG00000263126.1,,ENSG00000115607.8,,,,,,,,
ENSG00000255983.1,,ENSG00000130598.14,,,,,,,,
ENSG00000160856.19,,ENSG00000272129.1,,,,,,,,
ENSG00000068001.12,,ENSG00000100504.15,,,,,,,,
ENSG00000213937.3,,ENSG00000185650.9,,,,,,,,
ENSG00000179023.8,,ENSG00000188536.11,,,,,,,,
ENSG00000152454.3,,ENSG00000111364.14,,,,,,,,
ENSG00000201457.1,,ENSG00000184515.9,,,,,,,,
ENSG00000261349.1,,ENSG00000178038.15,,,,,,,,
ENSG00000122386.9,,ENSG00000125746.13,,,,,,,,
ENSG00000106113.17,,ENSG00000171729.12,,,,,,,,
ENSG00000127249.13,,ENSG00000154309.8,,,,,,,,
ENSG00000237513.1,,ENSG00000182247.8,,,,,,,,
ENSG00000137463.4,,ENSG00000128886.10,,,,,,,,
ENSG00000261211.1,,ENSG00000280157.1,,,,,,,,
ENSG00000131471.5,,ENSG00000136770.9,,,,,,,,
ENSG00000112761.17,,ENSG00000067141.15,,,,,,,,
ENSG00000120332.14,,ENSG00000148331.10,,,,,,,,
ENSG00000158270.11,,ENSG00000169314.13,,,,,,,,
ENSG00000274750.1,,ENSG00000203797.8,,,,,,,,
ENSG00000215493.3,,ENSG00000128581.14,,,,,,,,
ENSG00000158286.11,,ENSG00000272905.1,,,,,,,,
ENSG00000135925.7,,ENSG00000005471.14,,,,,,,,
ENSG00000007038.9,,ENSG00000224888.4,,,,,,,,
ENSG00000203867.7,,ENSG00000080819.5,,,,,,,,
ENSG00000269246.1,,ENSG00000164967.8,,,,,,,,
ENSG00000144810.14,,ENSG00000124749.15,,,,,,,,
ENSG00000170345.8,,ENSG00000197253.12,,,,,,,,
ENSG00000231595.1,,ENSG00000102924.10,,,,,,,,
ENSG00000141293.14,,ENSG00000198886.2,,,,,,,,
ENSG00000150275.16,,ENSG00000179314.12,,,,,,,,
ENSG00000002726.18,,ENSG00000162543.5,,,,,,,,
ENSG00000072422.15,,ENSG00000107984.8,,,,,,,,
ENSG00000109576.12,,ENSG00000124491.14,,,,,,,,
ENSG00000223414.2,,ENSG00000159592.9,,,,,,,,
ENSG00000125249.6,,ENSG00000176490.4,,,,,,,,
ENSG00000102854.13,,ENSG00000279184.1,,,,,,,,
ENSG00000227053.1,,ENSG00000129194.6,,,,,,,,
ENSG00000184838.13,,ENSG00000136425.11,,,,,,,,
ENSG00000076356.6,,ENSG00000164649.18,,,,,,,,
ENSG00000173175.13,,ENSG00000162946.19,,,,,,,,
ENSG00000162545.5,,ENSG00000010319.5,,,,,,,,
ENSG00000172717.14,,ENSG00000162929.12,,,,,,,,
ENSG00000109265.11,,ENSG00000065029.13,,,,,,,,
ENSG00000249335.1,,ENSG00000166922.7,,,,,,,,
ENSG00000134297.6,,ENSG00000174705.10,,,,,,,,
ENSG00000125872.7,,ENSG00000171132.12,,,,,,,,
ENSG00000233461.4,,ENSG00000177106.13,,,,,,,,
ENSG00000253522.3,,ENSG00000138767.11,,,,,,,,
ENSG00000155465.17,,ENSG00000108091.10,,,,,,,,
ENSG00000246100.3,,ENSG00000225849.1,,,,,,,,
ENSG00000079950.12,,ENSG00000270164.1,,,,,,,,
ENSG00000197935.6,,ENSG00000065621.13,,,,,,,,
ENSG00000175164.12,,ENSG00000144331.17,,,,,,,,
ENSG00000267194.1,,ENSG00000241563.3,,,,,,,,
ENSG00000262580.4,,ENSG00000252061.1,,,,,,,,
ENSG00000132704.14,,ENSG00000143994.12,,,,,,,,
ENSG00000003137.7,,ENSG00000005194.13,,,,,,,,
ENSG00000160185.12,,ENSG00000167701.12,,,,,,,,
ENSG00000110719.8,,ENSG00000168140.4,,,,,,,,
ENSG00000241945.6,,ENSG00000004660.13,,,,,,,,
ENSG00000203288.3,,ENSG00000168397.15,,,,,,,,
ENSG00000162337.10,,ENSG00000170791.16,,,,,,,,
ENSG00000108679.11,,ENSG00000183853.16,,,,,,,,
ENSG00000175106.15,,ENSG00000165449.10,,,,,,,,
ENSG00000203706.7,,ENSG00000269044.2,,,,,,,,
ENSG00000274591.1,,ENSG00000108244.15,,,,,,,,
ENSG00000161055.3,,ENSG00000257267.2,,,,,,,,
ENSG00000213988.8,,ENSG00000253853.1,,,,,,,,
ENSG00000007402.10,,ENSG00000141744.3,,,,,,,,
ENSG00000150625.15,,ENSG00000198933.8,,,,,,,,
ENSG00000179277.9,,ENSG00000161328.10,,,,,,,,
ENSG00000205959.3,,ENSG00000102362.14,,,,,,,,
ENSG00000137834.13,,ENSG00000105997.21,,,,,,,,
ENSG00000116883.8,,ENSG00000198551.8,,,,,,,,
ENSG00000100065.13,,ENSG00000204520.11,,,,,,,,
ENSG00000149418.9,,ENSG00000134030.12,,,,,,,,
ENSG00000162723.8,,ENSG00000130768.13,,,,,,,,
ENSG00000173253.13,,ENSG00000173548.8,,,,,,,,
ENSG00000234705.1,,ENSG00000166592.10,,,,,,,,
ENSG00000238039.1,,ENSG00000205213.12,,,,,,,,
ENSG00000275025.1,,ENSG00000262877.4,,,,,,,,
ENSG00000276533.1,,ENSG00000163815.5,,,,,,,,
ENSG00000104313.16,,ENSG00000090487.9,,,,,,,,
ENSG00000118965.13,,ENSG00000158715.5,,,,,,,,
ENSG00000226332.2,,ENSG00000046653.13,,,,,,,,
ENSG00000272056.1,,ENSG00000047578.11,,,,,,,,
ENSG00000125910.5,,ENSG00000182871.13,,,,,,,,
ENSG00000156414.17,,ENSG00000243749.1,,,,,,,,
ENSG00000164877.17,,ENSG00000169627.7,,,,,,,,
ENSG00000165970.10,,ENSG00000062370.15,,,,,,,,
ENSG00000114019.13,,ENSG00000140287.9,,,,,,,,
ENSG00000271662.1,,ENSG00000232807.2,,,,,,,,
ENSG00000267174.4,,ENSG00000135919.11,,,,,,,,
ENSG00000090534.16,,ENSG00000241549.7,,,,,,,,
ENSG00000264204.2,,ENSG00000026751.15,,,,,,,,
ENSG00000099840.12,,ENSG00000118242.14,,,,,,,,
ENSG00000068784.11,,ENSG00000121104.6,,,,,,,,
ENSG00000185633.9,,ENSG00000128040.9,,,,,,,,
ENSG00000226321.5,,ENSG00000176076.7,,,,,,,,
ENSG00000138075.10,,ENSG00000176842.13,,,,,,,,
ENSG00000173894.9,,ENSG00000168092.12,,,,,,,,
ENSG00000159640.13,,ENSG00000213759.7,,,,,,,,
ENSG00000112164.5,,ENSG00000163577.6,,,,,,,,
ENSG00000105737.8,,ENSG00000258704.4,,,,,,,,
ENSG00000233670.6,,ENSG00000147100.8,,,,,,,,
ENSG00000148541.11,,ENSG00000170085.16,,,,,,,,
ENSG00000105251.9,,ENSG00000175970.8,,,,,,,,
ENSG00000188783.5,,ENSG00000077522.11,,,,,,,,
ENSG00000135272.8,,ENSG00000061938.15,,,,,,,,
ENSG00000244676.4,,ENSG00000232431.3,,,,,,,,
ENSG00000250131.1,,ENSG00000272361.2,,,,,,,,
ENSG00000253126.1,,ENSG00000134574.10,,,,,,,,
ENSG00000261587.2,,ENSG00000111275.11,,,,,,,,
ENSG00000130433.6,,ENSG00000185963.12,,,,,,,,
ENSG00000275294.3,,ENSG00000137474.18,,,,,,,,
ENSG00000235674.2,,ENSG00000184441.4,,,,,,,,
ENSG00000259479.5,,ENSG00000049323.14,,,,,,,,
ENSG00000161643.11,,ENSG00000124508.15,,,,,,,,
ENSG00000253313.4,,ENSG00000140682.17,,,,,,,,
ENSG00000279464.1,,ENSG00000169752.15,,,,,,,,
ENSG00000134962.6,,ENSG00000172482.4,,,,,,,,
ENSG00000148411.6,,ENSG00000158813.16,,,,,,,,
ENSG00000267868.1,,ENSG00000110665.10,,,,,,,,
ENSG00000275718.1,,ENSG00000134278.13,,,,,,,,
ENSG00000134470.18,,ENSG00000128000.14,,,,,,,,
ENSG00000265531.2,,ENSG00000136271.9,,,,,,,,
ENSG00000134830.5,,ENSG00000171174.12,,,,,,,,
ENSG00000121903.13,,ENSG00000164742.13,,,,,,,,
ENSG00000166272.15,,ENSG00000110048.10,,,,,,,,
ENSG00000275632.1,,ENSG00000154589.5,,,,,,,,
ENSG00000256925.2,,ENSG00000176438.11,,,,,,,,
ENSG00000167419.9,,ENSG00000142449.11,,,,,,,,
ENSG00000129455.14,,ENSG00000164535.13,,,,,,,,
ENSG00000187550.7,,ENSG00000073754.5,,,,,,,,
ENSG00000121933.16,,ENSG00000214870.7,,,,,,,,
ENSG00000249087.5,,ENSG00000271869.1,,,,,,,,
ENSG00000240024.4,,ENSG00000205250.7,,,,,,,,
ENSG00000166035.9,,ENSG00000214140.9,,,,,,,,
ENSG00000275560.1,,ENSG00000222043.2,,,,,,,,
ENSG00000276073.1,,ENSG00000078328.18,,,,,,,,
ENSG00000166257.7,,ENSG00000064652.9,,,,,,,,
ENSG00000188906.12,,ENSG00000049759.15,,,,,,,,
ENSG00000226281.2,,ENSG00000149485.15,,,,,,,,
ENSG00000263961.5,,ENSG00000228401.4,,,,,,,,
ENSG00000250138.4,,ENSG00000198842.8,,,,,,,,
ENSG00000259803.5,,ENSG00000261649.4,,,,,,,,
ENSG00000078295.14,,ENSG00000185215.7,,,,,,,,
